Latitude (decimal degrees):	6.943
Longitude (decimal degrees):	-75.922
Elevation (m):	2179
Radiation database:	PVGIS-ERA5


Slope: 37 deg. (optimum)
Azimuth: - deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220101:0030,0.0,0.0,0.0,0.0,18.56,0.41,0.0
20220101:0130,0.0,0.0,0.0,0.0,18.54,0.28,0.0
20220101:0230,0.0,0.0,0.0,0.0,18.23,0.34,0.0
20220101:0330,0.0,0.0,0.0,0.0,17.97,0.28,0.0
20220101:0430,0.0,0.0,0.0,0.0,17.67,0.41,0.0
20220101:0530,0.0,0.0,0.0,0.0,17.26,0.55,0.0
20220101:0630,0.0,0.0,0.0,0.0,16.96,0.62,0.0
20220101:0730,0.0,0.0,0.0,0.0,16.79,0.55,0.0
20220101:0830,0.0,0.0,0.0,0.0,16.61,0.55,0.0
20220101:0930,0.0,0.0,0.0,0.0,16.27,0.55,0.0
20220101:1030,0.0,0.0,0.0,0.0,15.92,0.55,0.0
20220101:1130,0.0,11.87,0.29,2.52,15.84,0.55,0.0
20220101:1230,320.99,117.39,3.86,16.03,15.96,0.48,0.0
20220101:1330,496.1,152.34,7.74,29.09,17.75,0.62,0.0
20220101:1430,745.18,160.75,12.86,41.3,19.71,0.62,0.0
20220101:1530,797.83,155.63,15.56,51.78,21.56,0.34,0.0
20220101:1630,722.02,145.09,15.42,58.7,22.68,0.14,0.0
20220101:1730,799.85,159.75,17.18,59.53,23.08,0.69,0.0
20220101:1830,569.17,147.39,12.18,53.83,23.48,0.76,0.0
20220101:1930,312.71,249.68,9.37,43.99,22.67,0.83,0.0
20220101:2030,342.71,164.65,6.89,32.08,22.25,0.9,0.0
20220101:2130,32.0,63.62,1.64,19.17,20.26,0.41,0.0
20220101:2230,0.0,16.44,0.4,5.74,18.88,0.21,0.0
20220101:2330,0.0,0.0,0.0,0.0,18.66,0.41,0.0
20220102:0030,0.0,0.0,0.0,0.0,18.29,0.14,0.0
20220102:0130,0.0,0.0,0.0,0.0,17.69,0.21,0.0
20220102:0230,0.0,0.0,0.0,0.0,17.55,0.34,0.0
20220102:0330,0.0,0.0,0.0,0.0,17.47,0.21,0.0
20220102:0430,0.0,0.0,0.0,0.0,17.0,0.34,0.0
20220102:0530,0.0,0.0,0.0,0.0,16.89,0.41,0.0
20220102:0630,0.0,0.0,0.0,0.0,16.73,0.41,0.0
20220102:0730,0.0,0.0,0.0,0.0,16.34,0.41,0.0
20220102:0830,0.0,0.0,0.0,0.0,16.33,0.28,0.0
20220102:0930,0.0,0.0,0.0,0.0,16.14,0.34,0.0
20220102:1030,0.0,0.0,0.0,0.0,16.02,0.41,0.0
20220102:1130,0.0,9.6,0.23,2.43,15.77,0.48,0.0
20220102:1230,66.8,76.12,1.99,15.95,15.89,0.55,0.0
20220102:1330,92.97,119.41,3.5,29.03,17.27,0.62,0.0
20220102:1430,266.78,208.18,7.77,41.26,18.25,0.62,0.0
20220102:1530,151.52,214.74,7.05,51.78,19.86,0.62,0.0
20220102:1630,88.45,247.07,7.03,58.75,20.63,0.55,0.0
20220102:1730,204.32,286.58,9.77,59.63,20.98,0.62,0.0
20220102:1830,67.38,175.28,5.01,53.97,21.82,0.69,0.0
20220102:1930,80.96,177.35,5.05,44.12,20.4,0.62,0.0
20220102:2030,413.21,174.18,7.76,32.21,20.19,0.76,0.0
20220102:2130,333.99,103.92,4.23,19.29,20.8,0.55,0.0
20220102:2230,0.0,22.9,0.56,5.86,19.71,0.69,0.0
20220102:2330,0.0,0.0,0.0,0.0,18.29,0.21,0.0
20220103:0030,0.0,0.0,0.0,0.0,17.72,0.14,0.0
20220103:0130,0.0,0.0,0.0,0.0,17.7,0.14,0.0
20220103:0230,0.0,0.0,0.0,0.0,17.47,0.28,0.0
20220103:0330,0.0,0.0,0.0,0.0,17.27,0.48,0.0
20220103:0430,0.0,0.0,0.0,0.0,17.01,0.55,0.0
20220103:0530,0.0,0.0,0.0,0.0,16.78,0.48,0.0
20220103:0630,0.0,0.0,0.0,0.0,16.38,0.55,0.0
20220103:0730,0.0,0.0,0.0,0.0,16.3,0.62,0.0
20220103:0830,0.0,0.0,0.0,0.0,16.32,0.62,0.0
20220103:0930,0.0,0.0,0.0,0.0,16.16,0.55,0.0
20220103:1030,0.0,0.0,0.0,0.0,16.13,0.62,0.0
20220103:1130,0.0,11.36,0.28,2.34,15.8,0.76,0.0
20220103:1230,279.57,136.52,3.9,15.88,16.04,0.69,0.0
20220103:1330,375.5,172.82,6.95,28.97,17.93,0.62,0.0
20220103:1430,720.95,152.94,12.4,41.23,19.49,0.76,0.0
20220103:1530,754.07,155.47,14.88,51.78,21.28,0.69,0.0
20220103:1630,748.49,164.38,16.25,58.81,22.58,0.62,0.0
20220103:1730,754.18,153.45,16.32,59.74,23.29,0.83,0.0
20220103:1830,679.63,199.3,14.93,54.1,23.87,0.97,0.0
20220103:1930,430.05,195.13,9.84,44.26,23.52,1.17,0.0
20220103:2030,395.94,119.16,6.67,32.34,22.61,1.17,0.0
20220103:2130,208.4,78.64,3.03,19.42,21.97,1.1,0.0
20220103:2230,0.0,17.19,0.42,5.97,20.94,0.83,0.0
20220103:2330,0.0,0.0,0.0,0.0,19.89,0.55,0.0
20220104:0030,0.0,0.0,0.0,0.0,19.47,0.48,0.0
20220104:0130,0.0,0.0,0.0,0.0,18.78,0.55,0.0
20220104:0230,0.0,0.0,0.0,0.0,18.11,0.69,0.0
20220104:0330,0.0,0.0,0.0,0.0,17.86,0.62,0.0
20220104:0430,0.0,0.0,0.0,0.0,17.49,0.69,0.0
20220104:0530,0.0,0.0,0.0,0.0,16.97,0.69,0.0
20220104:0630,0.0,0.0,0.0,0.0,16.23,0.69,0.0
20220104:0730,0.0,0.0,0.0,0.0,15.7,0.62,0.0
20220104:0830,0.0,0.0,0.0,0.0,15.19,0.55,0.0
20220104:0930,0.0,0.0,0.0,0.0,14.7,0.55,0.0
20220104:1030,0.0,0.0,0.0,0.0,14.06,0.55,0.0
20220104:1130,0.0,16.65,0.41,2.26,13.18,0.62,0.0
20220104:1230,217.53,140.29,3.69,15.8,13.04,0.62,0.0
20220104:1330,422.46,227.4,8.24,28.92,15.85,0.62,0.0
20220104:1430,730.38,175.36,12.88,41.2,18.32,0.76,0.0
20220104:1530,989.72,117.72,17.91,51.79,20.38,0.83,0.0
20220104:1630,923.08,139.23,18.8,58.87,21.83,0.76,0.0
20220104:1730,875.61,171.16,18.78,59.86,22.74,0.69,0.0
20220104:1830,834.94,166.01,16.82,54.24,23.38,0.69,0.0
20220104:1930,736.68,175.71,13.59,44.4,23.48,0.69,0.0
20220104:2030,558.94,111.25,8.29,32.48,23.42,0.9,0.0
20220104:2130,454.12,107.92,5.13,19.54,22.59,0.97,0.0
20220104:2230,0.0,23.11,0.56,6.09,21.64,0.9,0.0
20220104:2330,0.0,0.0,0.0,0.0,20.05,0.48,0.0
20220105:0030,0.0,0.0,0.0,0.0,19.28,0.41,0.0
20220105:0130,0.0,0.0,0.0,0.0,18.5,0.41,0.0
20220105:0230,0.0,0.0,0.0,0.0,17.81,0.48,0.0
20220105:0330,0.0,0.0,0.0,0.0,17.32,0.55,0.0
20220105:0430,0.0,0.0,0.0,0.0,16.69,0.62,0.0
20220105:0530,0.0,0.0,0.0,0.0,16.33,0.62,0.0
20220105:0630,0.0,0.0,0.0,0.0,15.83,0.62,0.0
20220105:0730,0.0,0.0,0.0,0.0,15.54,0.55,0.0
20220105:0830,0.0,0.0,0.0,0.0,14.91,0.48,0.0
20220105:0930,0.0,0.0,0.0,0.0,14.56,0.55,0.0
20220105:1030,0.0,0.0,0.0,0.0,13.4,0.62,0.0
20220105:1130,0.0,13.04,0.32,2.17,13.32,0.62,0.0
20220105:1230,483.96,108.9,4.58,15.74,13.62,0.48,0.0
20220105:1330,726.27,133.16,9.64,28.87,16.61,0.34,0.0
20220105:1430,798.18,158.35,13.48,41.18,19.41,0.34,0.0
20220105:1530,776.62,145.33,15.06,51.8,20.79,0.07,0.0
20220105:1630,775.15,177.36,16.97,58.95,21.84,0.21,0.0
20220105:1730,677.93,246.89,16.81,59.99,22.67,0.55,0.0
20220105:1830,616.9,220.85,14.39,54.39,23.24,0.83,0.0
20220105:1930,566.27,177.68,11.35,44.54,23.39,1.1,0.0
20220105:2030,481.8,159.39,8.26,32.61,23.06,1.1,0.0
20220105:2130,109.25,77.16,2.39,19.67,22.19,1.03,0.0
20220105:2230,0.0,17.24,0.42,6.21,20.83,0.69,0.0
20220105:2330,0.0,0.0,0.0,0.0,19.67,0.48,0.0
20220106:0030,0.0,0.0,0.0,0.0,18.76,0.41,0.0
20220106:0130,0.0,0.0,0.0,0.0,18.07,0.21,0.0
20220106:0230,0.0,0.0,0.0,0.0,17.53,0.28,0.0
20220106:0330,0.0,0.0,0.0,0.0,17.36,0.28,0.0
20220106:0430,0.0,0.0,0.0,0.0,17.07,0.34,0.0
20220106:0530,0.0,0.0,0.0,0.0,16.63,0.34,0.0
20220106:0630,0.0,0.0,0.0,0.0,16.34,0.41,0.0
20220106:0730,0.0,0.0,0.0,0.0,16.75,0.34,0.0
20220106:0830,0.0,0.0,0.0,0.0,16.69,0.34,0.0
20220106:0930,0.0,0.0,0.0,0.0,16.75,0.34,0.0
20220106:1030,0.0,0.0,0.0,0.0,16.6,0.28,0.0
20220106:1130,0.0,9.56,0.23,2.09,16.57,0.28,0.0
20220106:1230,148.73,84.01,2.48,15.67,16.51,0.34,0.0
20220106:1330,316.07,174.41,6.44,28.82,17.42,0.55,0.0
20220106:1430,601.24,159.57,10.97,41.15,18.9,0.41,0.0
20220106:1530,487.1,207.52,11.79,51.82,20.32,0.28,0.0
20220106:1630,620.92,194.36,14.69,59.02,20.93,0.21,0.0
20220106:1730,631.26,209.49,15.33,60.12,21.85,0.0,0.0
20220106:1830,237.99,215.04,8.47,54.54,21.71,0.41,0.0
20220106:1930,270.28,223.51,8.39,44.69,21.26,0.55,0.0
20220106:2030,89.06,150.21,4.24,32.75,20.11,0.07,0.0
20220106:2130,188.21,93.24,3.18,19.8,19.64,0.55,0.0
20220106:2230,0.0,18.58,0.45,6.32,18.65,0.34,0.0
20220106:2330,0.0,0.0,0.0,0.0,17.79,0.21,0.0
20220107:0030,0.0,0.0,0.0,0.0,17.29,0.21,0.0
20220107:0130,0.0,0.0,0.0,0.0,16.75,0.34,0.0
20220107:0230,0.0,0.0,0.0,0.0,16.59,0.28,0.0
20220107:0330,0.0,0.0,0.0,0.0,16.15,0.14,0.0
20220107:0430,0.0,0.0,0.0,0.0,16.24,0.21,0.0
20220107:0530,0.0,0.0,0.0,0.0,16.18,0.14,0.0
20220107:0630,0.0,0.0,0.0,0.0,15.85,0.14,0.0
20220107:0730,0.0,0.0,0.0,0.0,15.9,0.34,0.0
20220107:0830,0.0,0.0,0.0,0.0,15.88,0.34,0.0
20220107:0930,0.0,0.0,0.0,0.0,15.88,0.41,0.0
20220107:1030,0.0,0.0,0.0,0.0,15.93,0.48,0.0
20220107:1130,0.0,3.27,0.08,2.02,16.0,0.48,0.0
20220107:1230,16.31,36.75,0.92,15.61,16.02,0.41,0.0
20220107:1330,2.37,61.36,1.42,28.78,16.6,0.41,0.0
20220107:1430,2.83,102.39,2.37,41.14,17.05,0.41,0.0
20220107:1530,38.15,149.31,3.97,51.85,17.79,0.48,0.0
20220107:1630,52.86,151.06,4.32,59.11,18.37,0.41,0.0
20220107:1730,5.25,125.7,2.96,60.26,18.42,0.14,0.0
20220107:1830,66.49,175.76,5.02,54.7,18.32,0.34,0.0
20220107:1930,92.44,118.9,3.93,44.84,18.32,0.28,0.0
20220107:2030,62.12,137.74,3.72,32.89,18.07,0.28,0.0
20220107:2130,21.96,88.17,2.13,19.93,18.65,0.28,0.0
20220107:2230,0.0,16.06,0.39,6.44,18.3,0.28,0.0
20220107:2330,0.0,0.0,0.0,0.0,17.51,0.34,0.0
20220108:0030,0.0,0.0,0.0,0.0,16.46,0.48,0.0
20220108:0130,0.0,0.0,0.0,0.0,16.5,0.21,0.0
20220108:0230,0.0,0.0,0.0,0.0,16.21,0.14,0.0
20220108:0330,0.0,0.0,0.0,0.0,15.8,0.34,0.0
20220108:0430,0.0,0.0,0.0,0.0,15.35,0.41,0.0
20220108:0530,0.0,0.0,0.0,0.0,14.9,0.41,0.0
20220108:0630,0.0,0.0,0.0,0.0,15.08,0.34,0.0
20220108:0730,0.0,0.0,0.0,0.0,14.69,0.48,0.0
20220108:0830,0.0,0.0,0.0,0.0,14.56,0.55,0.0
20220108:0930,0.0,0.0,0.0,0.0,14.5,0.48,0.0
20220108:1030,0.0,0.0,0.0,0.0,14.5,0.55,0.0
20220108:1130,0.0,10.99,0.27,1.94,14.29,0.55,0.0
20220108:1230,23.05,86.7,2.04,15.55,14.54,0.76,0.0
20220108:1330,173.18,180.24,5.37,28.74,15.47,0.97,0.0
20220108:1430,543.63,191.94,10.79,41.13,17.4,0.76,0.0
20220108:1530,596.35,253.92,14.29,51.88,19.28,0.62,0.0
20220108:1630,682.9,149.48,14.92,59.2,20.65,0.34,0.0
20220108:1730,523.53,140.81,12.18,60.4,21.43,0.48,0.0
20220108:1830,437.66,165.47,10.58,54.86,21.19,0.62,0.0
20220108:1930,282.63,232.2,8.74,45.0,20.2,0.83,0.0
20220108:2030,282.22,150.89,6.14,33.03,19.44,0.21,0.0
20220108:2130,107.46,106.79,2.97,20.06,19.31,0.41,0.0
20220108:2230,0.0,26.0,0.63,6.56,18.7,0.76,0.0
20220108:2330,0.0,0.0,0.0,0.0,17.79,0.34,0.0
20220109:0030,0.0,0.0,0.0,0.0,16.86,0.48,0.0
20220109:0130,0.0,0.0,0.0,0.0,16.68,0.55,0.0
20220109:0230,0.0,0.0,0.0,0.0,16.31,0.55,0.0
20220109:0330,0.0,0.0,0.0,0.0,15.92,0.69,0.0
20220109:0430,0.0,0.0,0.0,0.0,15.5,0.69,0.0
20220109:0530,0.0,0.0,0.0,0.0,15.13,0.62,0.0
20220109:0630,0.0,0.0,0.0,0.0,14.8,0.69,0.0
20220109:0730,0.0,0.0,0.0,0.0,15.56,0.55,0.0
20220109:0830,0.0,0.0,0.0,0.0,15.26,0.62,0.0
20220109:0930,0.0,0.0,0.0,0.0,15.06,0.62,0.0
20220109:1030,0.0,0.0,0.0,0.0,14.86,0.62,0.0
20220109:1130,0.0,10.53,0.26,1.87,14.78,0.62,0.0
20220109:1230,368.27,109.63,3.91,15.49,14.73,0.69,0.0
20220109:1330,484.11,147.79,7.49,28.7,16.8,0.62,0.0
20220109:1430,449.16,187.64,9.56,41.12,18.86,0.83,0.0
20220109:1530,592.62,192.79,13.11,51.92,20.04,0.69,0.0
20220109:1630,547.71,203.46,13.67,59.3,21.13,0.55,0.0
20220109:1730,737.48,140.51,15.93,60.56,21.75,0.83,0.0
20220109:1830,330.08,187.05,9.34,55.03,22.03,1.03,0.0
20220109:1930,216.87,137.7,6.0,45.16,21.59,1.03,0.0
20220109:2030,157.19,140.2,4.7,33.18,21.0,1.1,0.0
20220109:2130,140.45,59.99,2.3,20.18,20.76,0.97,0.0
20220109:2230,0.0,14.93,0.36,6.68,20.1,0.76,0.0
20220109:2330,0.0,0.0,0.0,0.0,19.02,0.48,0.0
20220110:0030,0.0,0.0,0.0,0.0,18.24,0.41,0.0
20220110:0130,0.0,0.0,0.0,0.0,17.39,0.48,0.0
20220110:0230,0.0,0.0,0.0,0.0,16.89,0.55,0.0
20220110:0330,0.0,0.0,0.0,0.0,16.37,0.48,0.0
20220110:0430,0.0,0.0,0.0,0.0,15.96,0.34,0.0
20220110:0530,0.0,0.0,0.0,0.0,15.42,0.34,0.0
20220110:0630,0.0,0.0,0.0,0.0,15.01,0.41,0.0
20220110:0730,0.0,0.0,0.0,0.0,15.44,0.34,0.0
20220110:0830,0.0,0.0,0.0,0.0,14.87,0.34,0.0
20220110:0930,0.0,0.0,0.0,0.0,14.6,0.41,0.0
20220110:1030,0.0,0.0,0.0,0.0,14.63,0.41,0.0
20220110:1130,0.0,9.69,0.24,1.8,14.72,0.48,0.0
20220110:1230,147.91,88.52,2.53,15.44,15.04,0.48,0.0
20220110:1330,135.57,103.02,3.53,28.67,16.28,0.55,0.0
20220110:1430,224.66,101.12,5.12,41.12,16.96,0.62,0.0
20220110:1530,119.54,113.94,4.41,51.96,17.91,0.62,0.0
20220110:1630,25.04,163.58,4.15,59.4,18.07,0.48,0.0
20220110:1730,17.31,203.17,4.93,60.71,18.4,0.41,0.0
20220110:1830,3.29,143.65,3.33,55.2,18.63,0.41,0.0
20220110:1930,54.33,130.47,3.69,45.32,19.24,0.34,0.0
20220110:2030,4.12,85.28,1.99,33.32,19.11,0.21,0.0
20220110:2130,49.03,56.66,1.61,20.31,18.53,0.41,0.0
20220110:2230,0.0,10.06,0.25,6.79,18.35,0.41,0.0
20220110:2330,0.0,0.0,0.0,0.0,17.85,0.41,0.0
20220111:0030,0.0,0.0,0.0,0.0,17.28,0.34,0.0
20220111:0130,0.0,0.0,0.0,0.0,16.88,0.21,0.0
20220111:0230,0.0,0.0,0.0,0.0,16.58,0.07,0.0
20220111:0330,0.0,0.0,0.0,0.0,16.21,0.34,0.0
20220111:0430,0.0,0.0,0.0,0.0,16.04,0.21,0.0
20220111:0530,0.0,0.0,0.0,0.0,16.04,0.14,0.0
20220111:0630,0.0,0.0,0.0,0.0,15.95,0.21,0.0
20220111:0730,0.0,0.0,0.0,0.0,15.97,0.34,0.0
20220111:0830,0.0,0.0,0.0,0.0,15.89,0.28,0.0
20220111:0930,0.0,0.0,0.0,0.0,15.91,0.28,0.0
20220111:1030,0.0,0.0,0.0,0.0,15.94,0.28,0.0
20220111:1130,0.0,2.56,0.06,1.73,16.06,0.21,0.0
20220111:1230,0.0,20.05,0.46,15.39,16.09,0.21,0.0
20220111:1330,3.81,52.81,1.24,28.64,16.28,0.07,0.0
20220111:1430,0.0,79.25,1.81,41.12,16.74,0.0,0.0
20220111:1530,1.52,86.66,2.0,52.01,17.1,0.28,0.0
20220111:1630,63.43,187.32,5.32,59.51,17.25,0.48,0.0
20220111:1730,74.27,146.93,4.62,60.88,17.85,0.69,0.0
20220111:1830,26.95,171.9,4.34,55.37,17.55,0.62,0.0
20220111:1930,0.0,127.46,2.91,45.48,18.11,0.41,0.0
20220111:2030,0.0,66.73,1.52,33.47,18.38,0.28,0.0
20220111:2130,9.93,46.19,1.12,20.45,17.36,0.34,0.0
20220111:2230,0.0,7.84,0.19,6.91,17.42,0.28,0.0
20220111:2330,0.0,0.0,0.0,0.0,16.75,0.28,0.0
20220112:0030,0.0,0.0,0.0,0.0,16.52,0.21,0.0
20220112:0130,0.0,0.0,0.0,0.0,16.55,0.28,0.0
20220112:0230,0.0,0.0,0.0,0.0,16.49,0.28,0.0
20220112:0330,0.0,0.0,0.0,0.0,16.39,0.21,0.0
20220112:0430,0.0,0.0,0.0,0.0,16.38,0.14,0.0
20220112:0530,0.0,0.0,0.0,0.0,16.31,0.07,0.0
20220112:0630,0.0,0.0,0.0,0.0,16.22,0.21,0.0
20220112:0730,0.0,0.0,0.0,0.0,15.24,0.34,0.0
20220112:0830,0.0,0.0,0.0,0.0,15.45,0.28,0.0
20220112:0930,0.0,0.0,0.0,0.0,15.42,0.28,0.0
20220112:1030,0.0,0.0,0.0,0.0,15.42,0.28,0.0
20220112:1130,0.0,3.31,0.08,1.66,15.5,0.28,0.0
20220112:1230,29.16,42.59,1.11,15.34,15.59,0.34,0.0
20220112:1330,73.59,94.09,2.79,28.62,16.42,0.28,0.0
20220112:1430,122.81,152.15,4.92,41.13,17.51,0.28,0.0
20220112:1530,516.29,201.01,12.14,52.06,18.5,0.21,0.0
20220112:1630,598.26,212.04,14.74,59.63,20.29,0.48,0.0
20220112:1730,569.24,197.77,14.18,61.05,21.4,0.76,0.0
20220112:1830,334.5,280.24,11.35,55.55,21.34,0.69,0.0
20220112:1930,232.29,209.35,7.69,45.65,20.96,0.9,0.0
20220112:2030,239.19,138.41,5.52,33.62,20.34,0.9,0.0
20220112:2130,267.8,82.67,3.61,20.58,19.66,0.83,0.0
20220112:2230,0.0,20.13,0.49,7.02,19.04,0.76,0.0
20220112:2330,0.0,0.0,0.0,0.0,18.29,0.62,0.0
20220113:0030,0.0,0.0,0.0,0.0,17.12,0.55,0.0
20220113:0130,0.0,0.0,0.0,0.0,16.82,0.55,0.0
20220113:0230,0.0,0.0,0.0,0.0,16.3,0.48,0.0
20220113:0330,0.0,0.0,0.0,0.0,16.2,0.34,0.0
20220113:0430,0.0,0.0,0.0,0.0,16.13,0.41,0.0
20220113:0530,0.0,0.0,0.0,0.0,16.0,0.48,0.0
20220113:0630,0.0,0.0,0.0,0.0,15.9,0.55,0.0
20220113:0730,0.0,0.0,0.0,0.0,15.29,0.55,0.0
20220113:0830,0.0,0.0,0.0,0.0,15.29,0.55,0.0
20220113:0930,0.0,0.0,0.0,0.0,15.13,0.48,0.0
20220113:1030,0.0,0.0,0.0,0.0,15.21,0.41,0.0
20220113:1130,0.0,7.97,0.19,1.6,15.19,0.41,0.0
20220113:1230,75.16,58.31,1.65,15.3,15.13,0.76,0.0
20220113:1330,300.22,110.26,5.16,28.6,16.21,0.62,0.0
20220113:1430,438.67,160.09,8.93,41.14,17.45,0.62,0.0
20220113:1530,507.07,219.57,12.36,52.12,18.68,0.55,0.0
20220113:1630,538.58,243.9,14.37,59.75,20.12,0.97,0.0
20220113:1730,353.61,231.6,11.19,61.23,20.46,0.97,0.0
20220113:1830,308.63,217.45,9.69,55.74,20.14,0.97,0.0
20220113:1930,259.05,199.55,7.85,45.81,19.81,0.76,0.0
20220113:2030,255.33,178.36,6.45,33.77,19.2,0.41,0.0
20220113:2130,255.16,123.31,4.2,20.71,18.73,0.76,0.0
20220113:2230,0.0,24.7,0.6,7.14,18.22,0.41,0.0
20220113:2330,0.0,0.0,0.0,0.0,17.47,0.34,0.0
20220114:0030,0.0,0.0,0.0,0.0,16.81,0.34,0.0
20220114:0130,0.0,0.0,0.0,0.0,16.72,0.34,0.0
20220114:0230,0.0,0.0,0.0,0.0,16.38,0.14,0.0
20220114:0330,0.0,0.0,0.0,0.0,16.11,0.14,0.0
20220114:0430,0.0,0.0,0.0,0.0,15.84,0.28,0.0
20220114:0530,0.0,0.0,0.0,0.0,15.78,0.41,0.0
20220114:0630,0.0,0.0,0.0,0.0,15.46,0.48,0.0
20220114:0730,0.0,0.0,0.0,0.0,15.34,0.48,0.0
20220114:0830,0.0,0.0,0.0,0.0,15.18,0.41,0.0
20220114:0930,0.0,0.0,0.0,0.0,14.98,0.48,0.0
20220114:1030,0.0,0.0,0.0,0.0,14.95,0.48,0.0
20220114:1130,0.0,10.53,0.26,1.54,14.72,0.55,0.0
20220114:1230,263.97,85.27,3.01,15.26,14.9,0.55,0.0
20220114:1330,543.25,113.59,7.52,28.58,16.38,0.62,0.0
20220114:1430,452.84,209.67,10.0,41.16,18.47,0.62,0.0
20220114:1530,724.98,172.85,14.81,52.19,20.02,0.69,0.0
20220114:1630,535.71,166.83,12.83,59.89,21.35,0.9,0.0
20220114:1730,585.13,186.69,14.29,61.42,21.72,0.83,0.0
20220114:1830,236.83,230.62,8.87,55.93,21.92,0.9,0.0
20220114:1930,321.85,140.94,7.54,45.99,20.71,0.62,0.0
20220114:2030,440.3,109.77,7.17,33.92,20.39,0.62,0.0
20220114:2130,287.66,132.81,4.57,20.84,20.18,0.69,0.0
20220114:2230,0.0,21.51,0.53,7.26,19.58,0.83,0.0
20220114:2330,0.0,0.0,0.0,-6.59,18.65,0.83,0.0
20220115:0030,0.0,0.0,0.0,0.0,17.49,0.76,0.0
20220115:0130,0.0,0.0,0.0,0.0,17.03,0.69,0.0
20220115:0230,0.0,0.0,0.0,0.0,16.65,0.76,0.0
20220115:0330,0.0,0.0,0.0,0.0,16.31,0.76,0.0
20220115:0430,0.0,0.0,0.0,0.0,15.9,0.83,0.0
20220115:0530,0.0,0.0,0.0,0.0,15.5,0.9,0.0
20220115:0630,0.0,0.0,0.0,0.0,15.25,0.83,0.0
20220115:0730,0.0,0.0,0.0,0.0,15.14,0.83,0.0
20220115:0830,0.0,0.0,0.0,0.0,14.95,0.76,0.0
20220115:0930,0.0,0.0,0.0,0.0,14.73,0.76,0.0
20220115:1030,0.0,0.0,0.0,0.0,14.21,0.76,0.0
20220115:1130,0.0,11.78,0.29,1.48,13.77,0.83,0.0
20220115:1230,217.14,125.49,3.39,15.22,13.7,0.83,0.0
20220115:1330,521.95,176.38,8.25,28.57,15.63,0.76,0.0
20220115:1430,826.41,145.05,13.64,41.18,18.22,0.69,0.0
20220115:1530,840.51,154.26,16.29,52.26,20.58,0.41,0.0
20220115:1630,692.29,189.44,15.98,60.02,21.96,0.21,0.0
20220115:1730,597.18,230.02,15.38,61.61,22.7,0.41,0.0
20220115:1830,709.15,207.57,15.9,56.13,22.97,0.55,0.0
20220115:1930,460.5,176.48,10.13,46.16,22.35,0.69,0.0
20220115:2030,484.49,142.28,8.22,34.07,21.77,0.83,0.0
20220115:2130,337.7,109.9,4.57,20.97,21.26,0.76,0.0
20220115:2230,0.0,25.41,0.62,7.37,20.14,0.76,0.0
20220115:2330,0.0,0.0,0.0,-6.49,19.23,0.48,0.0
20220116:0030,0.0,0.0,0.0,0.0,18.27,0.41,0.0
20220116:0130,0.0,0.0,0.0,0.0,17.85,0.28,0.0
20220116:0230,0.0,0.0,0.0,0.0,17.45,0.28,0.0
20220116:0330,0.0,0.0,0.0,0.0,17.43,0.34,0.0
20220116:0430,0.0,0.0,0.0,0.0,17.14,0.34,0.0
20220116:0530,0.0,0.0,0.0,0.0,16.99,0.41,0.0
20220116:0630,0.0,0.0,0.0,0.0,16.84,0.34,0.0
20220116:0730,0.0,0.0,0.0,0.0,16.08,0.48,0.0
20220116:0830,0.0,0.0,0.0,0.0,15.8,0.55,0.0
20220116:0930,0.0,0.0,0.0,0.0,15.42,0.55,0.0
20220116:1030,0.0,0.0,0.0,0.0,15.06,0.55,0.0
20220116:1130,0.0,10.86,0.27,1.43,14.8,0.48,0.0
20220116:1230,418.07,123.78,4.28,15.18,14.71,0.48,0.0
20220116:1330,655.6,125.14,8.77,28.56,16.91,0.55,0.0
20220116:1430,808.58,160.24,13.65,41.2,19.12,0.34,0.0
20220116:1530,896.0,146.76,17.05,52.33,20.93,0.07,0.0
20220116:1630,721.69,147.42,15.72,60.17,22.16,0.07,0.0
20220116:1730,679.15,187.23,16.01,61.8,22.6,0.34,0.0
20220116:1830,591.57,168.17,13.29,56.32,22.9,0.55,0.0
20220116:1930,484.18,189.04,10.7,46.33,22.33,0.69,0.0
20220116:2030,521.24,138.6,8.58,34.22,21.58,0.83,0.0
20220116:2130,188.85,98.01,3.38,21.1,20.69,0.76,0.0
20220116:2230,0.0,27.51,0.67,7.48,19.57,0.76,0.0
20220116:2330,0.0,0.0,0.0,-6.4,18.82,0.48,0.0
20220117:0030,0.0,0.0,0.0,0.0,18.13,0.41,0.0
20220117:0130,0.0,0.0,0.0,0.0,17.72,0.14,0.0
20220117:0230,0.0,0.0,0.0,0.0,17.34,0.34,0.0
20220117:0330,0.0,0.0,0.0,0.0,16.92,0.34,0.0
20220117:0430,0.0,0.0,0.0,0.0,16.43,0.41,0.0
20220117:0530,0.0,0.0,0.0,0.0,16.26,0.41,0.0
20220117:0630,0.0,0.0,0.0,0.0,16.0,0.41,0.0
20220117:0730,0.0,0.0,0.0,0.0,15.61,0.41,0.0
20220117:0830,0.0,0.0,0.0,0.0,15.68,0.41,0.0
20220117:0930,0.0,0.0,0.0,0.0,15.68,0.34,0.0
20220117:1030,0.0,0.0,0.0,0.0,15.64,0.41,0.0
20220117:1130,0.0,7.97,0.19,1.38,15.64,0.55,0.0
